,"('D', 'D')","('D', 'J')","('D', 'E')","('D', 'I')","('D', 'A')","('D', 'G')","('D', 'C')","('D', 'F')","('D', 'H')","('D', 'B')","('J', 'D')","('J', 'J')","('J', 'E')","('J', 'I')","('J', 'A')","('J', 'G')","('J', 'C')","('J', 'F')","('J', 'H')","('J', 'B')","('E', 'D')","('E', 'J')","('E', 'E')","('E', 'I')","('E', 'A')","('E', 'G')","('E', 'C')","('E', 'F')","('E', 'H')","('E', 'B')","('I', 'D')","('I', 'J')","('I', 'E')","('I', 'I')","('I', 'A')","('I', 'G')","('I', 'C')","('I', 'F')","('I', 'H')","('I', 'B')","('A', 'D')","('A', 'J')","('A', 'E')","('A', 'I')","('A', 'A')","('A', 'G')","('A', 'C')","('A', 'F')","('A', 'H')","('A', 'B')","('G', 'D')","('G', 'J')","('G', 'E')","('G', 'I')","('G', 'A')","('G', 'G')","('G', 'C')","('G', 'F')","('G', 'H')","('G', 'B')","('C', 'D')","('C', 'J')","('C', 'E')","('C', 'I')","('C', 'A')","('C', 'G')","('C', 'C')","('C', 'F')","('C', 'H')","('C', 'B')","('F', 'D')","('F', 'J')","('F', 'E')","('F', 'I')","('F', 'A')","('F', 'G')","('F', 'C')","('F', 'F')","('F', 'H')","('F', 'B')","('H', 'D')","('H', 'J')","('H', 'E')","('H', 'I')","('H', 'A')","('H', 'G')","('H', 'C')","('H', 'F')","('H', 'H')","('H', 'B')","('B', 'D')","('B', 'J')","('B', 'E')","('B', 'I')","('B', 'A')","('B', 'G')","('B', 'C')","('B', 'F')","('B', 'H')","('B', 'B')"
12,,,,,,,,,,,,,,,,,,,9.011647870223289,,,,,,,,,,,,,,,,,,,,,,,,,,,10.904925124490397,,13.921795677048454,,11.394267984578835,,,,,10.904925124490397,,,,,,,,,,,,,11.037260313668911,,,,,,,13.921795677048454,,11.037260313668911,,,13.094304566778266,,9.011647870223289,,,,,,,,,,,,,11.394267984578835,,,13.094304566778266,,
13,,,,,,,,,,,,,,,,,,,9.011647870223289,,,,,,,,,,,,,,,,,,,,,,,,,,,10.904925124490397,,13.921795677048454,,11.394267984578835,,,,,10.904925124490397,,,,,,,,,,,,,11.037260313668911,,,,,,,13.921795677048454,,11.037260313668911,,,13.094304566778266,,9.011647870223289,,,,,,,,,,,,,11.394267984578835,,,13.094304566778266,,
14,,,,,,,,,,,,,,,,,,,9.011647870223289,,,,,,,,,,,,,,,,,,,,,,,,,,,10.904925124490397,,13.921795677048454,,11.394267984578835,,,,,10.904925124490397,,,,,,,,,,,,,11.037260313668911,,,,,,,13.921795677048454,,11.037260313668911,,,13.094304566778266,,9.011647870223289,,,,,,,,,,,,,11.394267984578835,,,13.094304566778266,,
15,,,,,,,,,,,,,,,,,,,9.011647870223289,,,,,,,,,,,,,,,,,,,,,,,,,,,10.904925124490397,,13.921795677048454,,11.394267984578835,,,,,10.904925124490397,,,,,,,,,,,,,11.037260313668911,,,,,,,13.921795677048454,,11.037260313668911,,,13.094304566778266,,9.011647870223289,,,,,,,,,,,,,11.394267984578835,,,13.094304566778266,,
16,,,,,,,,,,,,,,,,,,,9.011647870223289,,,,,,,,,,,,,,,,,,,,,,,,,,,10.904925124490397,,13.921795677048454,,11.394267984578835,,,,,10.904925124490397,,,,,,,,,,,,,11.037260313668911,,,,,,,13.921795677048454,,11.037260313668911,,,13.094304566778266,,9.011647870223289,,,,,,,,,,,,,11.394267984578835,,,13.094304566778266,,
17,,,,,,,,,,,,,,,,,,,9.011647870223289,,,,,,,,,,,,,,,,,,,,,,,,,,,10.904925124490397,,13.921795677048454,,,,,,,10.904925124490397,,,,,,,,,,,,,11.037260313668911,,,,,,,13.921795677048454,,11.037260313668911,,,13.094304566778266,,9.011647870223289,,,,,,,,,,,,,,,,13.094304566778266,,
18,,,,,,,,,,,,,,,,,,,9.011647870223289,,,,,,,,,,,,,,,,,,,,,,,,,,,10.904925124490397,,,,11.394267984578835,,,,,10.904925124490397,,,,,,,,,,,,,11.037260313668911,,,,,,,,,11.037260313668911,,,13.094304566778266,,9.011647870223289,,,,,,,,,,,,,11.394267984578835,,,13.094304566778266,,
19,,,,,,,,,,,,,,,,,,,9.011647870223289,,,,,,,,,,,,,,,,,,,,,,,,,,,10.904925124490397,,,,11.394267984578835,,,,,10.904925124490397,,,,,,,,,,,,,11.037260313668911,,,,,,,,,11.037260313668911,,,13.094304566778266,,9.011647870223289,,,,,,,,,,,,,11.394267984578835,,,13.094304566778266,,
20,,,,,,,,,,,,,,,,,,,9.011647870223289,,,,,,,,,,,,,,,,,,,,,,,,,,,10.904925124490397,,,,11.394267984578835,,,,,10.904925124490397,,,,,,,,,,,,,11.037260313668911,,,,,,,,,11.037260313668911,,,13.094304566778266,,9.011647870223289,,,,,,,,,,,,,11.394267984578835,,,13.094304566778266,,
21,,,,,,,,,,,,,,,,,,,9.011647870223289,,,,,,,,,,,,,,,,,,,,,,,,,,,10.904925124490397,,,,11.394267984578835,,,,,10.904925124490397,,,,,,,,,,,,,11.037260313668911,,,,,,,,,11.037260313668911,,,13.094304566778266,,9.011647870223289,,,,,,,,,,,,,11.394267984578835,,,13.094304566778266,,
22,,,,,,,,,,,,,,,,,,,9.011647870223289,,,,,,,,,,,,,,,,,,,,,,,,,,,10.904925124490397,,,,11.394267984578835,,,,,10.904925124490397,,,,,,,,,,,,,11.037260313668911,,,,,,,,,11.037260313668911,,,13.094304566778266,,9.011647870223289,,,,,,,,,,,,,11.394267984578835,,,13.094304566778266,,
23,,,,,,,,,,,,,,,,,,,9.011647870223289,,,,,,,,,,,,,,,,,,,,,,,,,,,10.904925124490397,,,,,,,,,10.904925124490397,,,,,,,,,,,,,11.037260313668911,,,,,,,,,11.037260313668911,,,13.094304566778266,,9.011647870223289,,,,,,,,,,,,,,,,13.094304566778266,,
24,,,,,,,,,,,,,,,,,,,9.011647870223289,,,,,,,,,,,,,,,,,,,,,,,,,,,10.904925124490397,,,,,,,,,10.904925124490397,,,,,,,,,,,,,11.037260313668911,,,,,,,,,11.037260313668911,,,13.094304566778266,,9.011647870223289,,,,,,,,,,,,,,,,13.094304566778266,,
25,,,,,,,,,,,,,,,,,,,9.011647870223289,,,,,,,,,,,,,,,,,,,,,,,,,,,10.904925124490397,,,,11.394267984578835,,,,,10.904925124490397,,,,,,,,,,,,,11.037260313668911,,,,,,,,,11.037260313668911,,,13.094304566778266,,9.011647870223289,,,,,,,,,,,,,11.394267984578835,,,13.094304566778266,,
26,,,,,,,,,,,,,,,,,,,9.011647870223289,,,,,,,,,,,,,,,,,,,,,,,,,,,10.904925124490397,,,,11.394267984578835,,,,,10.904925124490397,,,,,,,,,,,,,11.037260313668911,,,,,,,,,11.037260313668911,,,13.094304566778266,,9.011647870223289,,,,,,,,,,,,,11.394267984578835,,,13.094304566778266,,
27,,,,,,,,,,,,,,,,,,,9.011647870223289,,,,,,,,,,,,,,,,,,,,,,,,,,,10.904925124490397,,,,11.394267984578835,,,,,10.904925124490397,,,,,,,,,,,,,11.037260313668911,,,,,,,,,11.037260313668911,,,13.094304566778266,,9.011647870223289,,,,,,,,,,,,,11.394267984578835,,,13.094304566778266,,
28,,,,,,,,,,,,,,,,,,,9.011647870223289,,,,,,,13.341104266407502,,,,,,,,,,,,,,,,,,,,10.904925124490397,,,,11.394267984578835,,,13.341104266407502,,10.904925124490397,,,,,,,,,,,,,11.037260313668911,,,,,,,,,11.037260313668911,,,13.094304566778266,,9.011647870223289,,,,,,,,,,,,,11.394267984578835,,,13.094304566778266,,
29,,,,,,,,,,,,,,,,,,,9.011647870223289,,,,,,,13.341104266407502,,,,,,,,,,,,,,,,,,,,10.904925124490397,,,,11.394267984578835,,,13.341104266407502,,10.904925124490397,,,,,12.588073671297673,,,,,,,,11.037260313668911,,,,,,,,,11.037260313668911,,,13.094304566778266,,9.011647870223289,,,,,,,,,,,,,11.394267984578835,12.588073671297673,,13.094304566778266,,
30,,,,,,,,,,,,,,,,,,,9.011647870223289,,,,,,,13.341104266407502,,,,,,,,,,,,,,,,,,,,10.904925124490397,,,,11.394267984578835,,,13.341104266407502,,10.904925124490397,,,,,,,,,,,,,11.037260313668911,,,,,,,,,11.037260313668911,,,13.094304566778266,,9.011647870223289,,,,,,,,,,,,,11.394267984578835,,,13.094304566778266,,
31,,,,,,,,,,,,,,,,,,,9.011647870223289,,,,,,,13.341104266407502,,,,,,,,,,,,,,,,,,,,10.904925124490397,,,,11.394267984578835,,,13.341104266407502,,10.904925124490397,,,,,12.588073671297673,,,,,,,,11.037260313668911,,,,,,,,,11.037260313668911,,,,,9.011647870223289,,,,,,,,,,,,,11.394267984578835,12.588073671297673,,,,
