,"('D', 'D')","('D', 'I')","('D', 'J')","('D', 'G')","('D', 'C')","('D', 'F')","('D', 'H')","('D', 'B')","('D', 'A')","('D', 'E')","('I', 'D')","('I', 'I')","('I', 'J')","('I', 'G')","('I', 'C')","('I', 'F')","('I', 'H')","('I', 'B')","('I', 'A')","('I', 'E')","('J', 'D')","('J', 'I')","('J', 'J')","('J', 'G')","('J', 'C')","('J', 'F')","('J', 'H')","('J', 'B')","('J', 'A')","('J', 'E')","('G', 'D')","('G', 'I')","('G', 'J')","('G', 'G')","('G', 'C')","('G', 'F')","('G', 'H')","('G', 'B')","('G', 'A')","('G', 'E')","('C', 'D')","('C', 'I')","('C', 'J')","('C', 'G')","('C', 'C')","('C', 'F')","('C', 'H')","('C', 'B')","('C', 'A')","('C', 'E')","('F', 'D')","('F', 'I')","('F', 'J')","('F', 'G')","('F', 'C')","('F', 'F')","('F', 'H')","('F', 'B')","('F', 'A')","('F', 'E')","('H', 'D')","('H', 'I')","('H', 'J')","('H', 'G')","('H', 'C')","('H', 'F')","('H', 'H')","('H', 'B')","('H', 'A')","('H', 'E')","('B', 'D')","('B', 'I')","('B', 'J')","('B', 'G')","('B', 'C')","('B', 'F')","('B', 'H')","('B', 'B')","('B', 'A')","('B', 'E')","('A', 'D')","('A', 'I')","('A', 'J')","('A', 'G')","('A', 'C')","('A', 'F')","('A', 'H')","('A', 'B')","('A', 'A')","('A', 'E')","('E', 'D')","('E', 'I')","('E', 'J')","('E', 'G')","('E', 'C')","('E', 'F')","('E', 'H')","('E', 'B')","('E', 'A')","('E', 'E')"
10,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,9.011647870223289,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,10.904925124490397,0.0,0.0,0.0,0.0,0.0,,11.037260313668911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.037260313668911,,0.0,13.094304566778266,0.0,0.0,0.0,0.0,9.011647870223289,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.094304566778266,0.0,,,0.0,0.0,0.0,0.0,10.904925124490397,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
11,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,9.011647870223289,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,10.904925124490397,0.0,0.0,0.0,0.0,0.0,,11.037260313668911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.037260313668911,,0.0,13.094304566778266,13.921795677048454,0.0,0.0,0.0,9.011647870223289,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.094304566778266,0.0,,,0.0,0.0,0.0,0.0,10.904925124490397,0.0,13.921795677048454,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
12,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,9.011647870223289,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,10.904925124490397,0.0,0.0,0.0,0.0,0.0,,11.037260313668911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.037260313668911,,0.0,13.094304566778266,13.921795677048454,0.0,0.0,0.0,9.011647870223289,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,13.094304566778266,0.0,,,0.0,0.0,0.0,0.0,10.904925124490397,0.0,13.921795677048454,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
13,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,9.011647870223289,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,11.037260313668911,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,11.037260313668911,,0.0,13.094304566778266,,0.0,0.0,0.0,9.011647870223289,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.094304566778266,0.0,,,0.0,0.0,0.0,0.0,,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
14,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,9.011647870223289,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,10.904925124490397,0.0,0.0,0.0,0.0,0.0,,11.037260313668911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.037260313668911,,0.0,13.094304566778266,13.921795677048454,0.0,0.0,0.0,9.011647870223289,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.094304566778266,0.0,,,0.0,0.0,0.0,0.0,10.904925124490397,0.0,13.921795677048454,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
15,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,9.011647870223289,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,10.904925124490397,0.0,0.0,0.0,0.0,0.0,,11.037260313668911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.037260313668911,,0.0,13.094304566778266,13.921795677048454,0.0,0.0,0.0,9.011647870223289,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.094304566778266,0.0,,,0.0,0.0,0.0,0.0,10.904925124490397,0.0,13.921795677048454,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
16,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,9.011647870223289,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,10.904925124490397,0.0,0.0,0.0,0.0,0.0,,11.037260313668911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.037260313668911,,0.0,13.094304566778266,13.921795677048454,0.0,0.0,0.0,9.011647870223289,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,13.094304566778266,,,,0.0,0.0,0.0,0.0,10.904925124490397,0.0,13.921795677048454,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,
17,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,9.011647870223289,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,10.904925124490397,0.0,0.0,,0.0,0.0,,11.037260313668911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.037260313668911,,0.0,13.094304566778266,13.921795677048454,0.0,0.0,0.0,9.011647870223289,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.094304566778266,0.0,,,0.0,0.0,0.0,0.0,10.904925124490397,0.0,13.921795677048454,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
18,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,9.011647870223289,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,10.904925124490397,0.0,0.0,0.0,0.0,0.0,,11.037260313668911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.037260313668911,,0.0,13.094304566778266,13.921795677048454,0.0,0.0,0.0,9.011647870223289,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.094304566778266,0.0,,,0.0,,,0.0,10.904925124490397,0.0,13.921795677048454,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
19,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,9.011647870223289,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,11.037260313668911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.037260313668911,,0.0,,13.921795677048454,0.0,0.0,0.0,9.011647870223289,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,,0.0,0.0,0.0,0.0,,0.0,13.921795677048454,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
